# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 0.0015539
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 0.00158562
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 0.00257039
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 0.00259418
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.00345114
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.00352717
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.00552004
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00623005
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.00811376
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.00827704
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.0119563
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.0118574
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.0145584
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.0137294
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.0224912
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.0218021
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.0285794
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.0313527
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.0501548
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.0475695
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.0555303
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.0550222
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.0960459
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.0957679
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.11559
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.11573
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.194764
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.192603
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.234609
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.245595
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.401381
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.389802
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.485891
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.487186
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 0.83002
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 0.824809
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 0.907143
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 0.880937
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 1.49475
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 1.45583
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 1.7314
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 1.7306
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 2.95879
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 2.98502
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 3.51439
hpce.fast_fourier_transform, 8, 8, 1048576, 837.071, 3.55672
hpce.fast_fourier_transform, 8, 8, 1246974, 987.911, 6.22377
# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 2.89227e-005
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 3.31212e-005
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 3.77862e-005
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 4.29176e-005
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 4.19846e-005
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 0.000193129
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 8.72347e-005
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 0.000120822
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 9.37657e-005
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 0.00021039
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 0.000153011
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 0.000184266
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 0.000194062
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 0.000295292
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 0.00032748
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 0.000380661
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 0.000378795
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 0.000707674
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 0.000671287
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 0.000839692
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 0.000815901
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 0.00128473
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 0.00124648
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.00183706
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.00191403
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.00266369
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00277005
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.00375436
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.00391297
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.00651228
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.00649362
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.00812449
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.00797008
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.0118616
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.0142141
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.0240325
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.0193731
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.0241598
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.0273287
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.0495619
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.0407148
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.0668148
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.0723544
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.106344
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.0839333
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.149369
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.150021
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.195008
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.188054
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.312806
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.291682
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.360552
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.356214
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 0.58609
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 0.605868
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 0.723397
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 0.730603
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 1.08407
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 1.14122
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 1.4115
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 1.40585
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 2.28445
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 2.33045
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 2.92764
hpce.fast_fourier_transform, 8, 8, 1048576, 837.071, 2.80759
hpce.fast_fourier_transform, 8, 8, 1246974, 987.911, 4.58126
hpce.fast_fourier_transform, 8, 8, 1482910, 259.427, 4.6128
hpce.fast_fourier_transform, 8, 8, 1763487, 290.813, 5.67392
# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 3.17217e-005
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 3.49872e-005
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 3.35877e-005
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 4.47836e-005
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 4.38506e-005
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 6.71754e-005
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 6.67089e-005
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 8.91007e-005
